Question,Acurracy global,Precision_0,Recall_0,F1_score_0,Support_0,Precision_1,Recall_1,F1_score_1,Support_1,Precision_2,Recall_2,F1_score_2,Support_2
1,51.28205128205128,0.4375,0.6363636363636364,0.5185185185185185,11,0.46153846153846156,0.42857142857142855,0.4444444444444445,14,0.7,0.5,0.5833333333333334,14
2,58.97435897435898,0.5384615384615384,0.6363636363636364,0.5833333333333334,11,0.5384615384615384,0.5,0.5185185185185186,14,0.6923076923076923,0.6428571428571429,0.6666666666666666,14
3,66.66666666666666,0.6,0.8181818181818182,0.6923076923076923,11,0.7,0.5,0.5833333333333334,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
4,61.53846153846154,0.5,0.6363636363636364,0.56,11,0.5833333333333334,0.5,0.5384615384615384,14,0.7692307692307693,0.7142857142857143,0.7407407407407408,14
5,56.41025641025641,0.4666666666666667,0.6363636363636364,0.5384615384615385,11,0.5,0.35714285714285715,0.41666666666666663,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
6,61.53846153846154,0.5,0.6363636363636364,0.56,11,0.5833333333333334,0.5,0.5384615384615384,14,0.7692307692307693,0.7142857142857143,0.7407407407407408,14
7,61.53846153846154,0.5333333333333333,0.7272727272727273,0.6153846153846153,11,0.6,0.42857142857142855,0.5,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
8,61.53846153846154,0.5333333333333333,0.7272727272727273,0.6153846153846153,11,0.6,0.42857142857142855,0.5,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
9,58.97435897435898,0.5,0.6363636363636364,0.56,11,0.5454545454545454,0.42857142857142855,0.4799999999999999,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
10,53.84615384615385,0.47058823529411764,0.7272727272727273,0.5714285714285714,11,0.5,0.42857142857142855,0.4615384615384615,14,0.7,0.5,0.5833333333333334,14
11,51.28205128205128,0.3888888888888889,0.6363636363636364,0.4827586206896552,11,0.45454545454545453,0.35714285714285715,0.4,14,0.8,0.5714285714285714,0.6666666666666666,14
12,61.53846153846154,0.5384615384615384,0.6363636363636364,0.5833333333333334,11,0.5833333333333334,0.5,0.5384615384615384,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
13,53.84615384615385,0.375,0.5454545454545454,0.4444444444444444,11,0.5,0.5,0.5,14,0.8888888888888888,0.5714285714285714,0.6956521739130435,14
14,53.84615384615385,0.4,0.5454545454545454,0.4615384615384615,11,0.5333333333333333,0.5714285714285714,0.5517241379310344,14,0.7777777777777778,0.5,0.6086956521739131,14
15,56.41025641025641,0.46153846153846156,0.5454545454545454,0.4999999999999999,11,0.5,0.42857142857142855,0.4615384615384615,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
16,61.53846153846154,0.5333333333333333,0.7272727272727273,0.6153846153846153,11,0.5833333333333334,0.5,0.5384615384615384,14,0.75,0.6428571428571429,0.6923076923076924,14
17,58.97435897435898,0.4666666666666667,0.6363636363636364,0.5384615384615385,11,0.5625,0.6428571428571429,0.6000000000000001,14,0.875,0.5,0.6363636363636364,14
18,58.97435897435898,0.47058823529411764,0.7272727272727273,0.5714285714285714,11,0.5714285714285714,0.5714285714285714,0.5714285714285714,14,0.875,0.5,0.6363636363636364,14
19,58.97435897435898,0.4444444444444444,0.7272727272727273,0.5517241379310345,11,0.5714285714285714,0.5714285714285714,0.5714285714285714,14,1.0,0.5,0.6666666666666666,14
20,53.84615384615385,0.4166666666666667,0.45454545454545453,0.43478260869565216,11,0.46153846153846156,0.42857142857142855,0.4444444444444445,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
21,61.53846153846154,0.5333333333333333,0.7272727272727273,0.6153846153846153,11,0.6,0.42857142857142855,0.5,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
22,48.717948717948715,0.375,0.5454545454545454,0.4444444444444444,11,0.46153846153846156,0.42857142857142855,0.4444444444444445,14,0.7,0.5,0.5833333333333334,14
23,51.28205128205128,0.4166666666666667,0.45454545454545453,0.43478260869565216,11,0.42857142857142855,0.42857142857142855,0.42857142857142855,14,0.6923076923076923,0.6428571428571429,0.6666666666666666,14
24,56.41025641025641,0.46153846153846156,0.5454545454545454,0.4999999999999999,11,0.5,0.42857142857142855,0.4615384615384615,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
25,53.84615384615385,0.4444444444444444,0.7272727272727273,0.5517241379310345,11,0.5384615384615384,0.5,0.5185185185185186,14,0.75,0.42857142857142855,0.5454545454545454,14
26,53.84615384615385,0.4117647058823529,0.6363636363636364,0.5,11,0.5,0.5,0.5,14,0.875,0.5,0.6363636363636364,14
27,58.97435897435898,0.47368421052631576,0.8181818181818182,0.6,11,0.6,0.42857142857142855,0.5,14,0.8,0.5714285714285714,0.6666666666666666,14
28,56.41025641025641,0.47058823529411764,0.7272727272727273,0.5714285714285714,11,0.5384615384615384,0.5,0.5185185185185186,14,0.7777777777777778,0.5,0.6086956521739131,14
29,61.53846153846154,0.5333333333333333,0.7272727272727273,0.6153846153846153,11,0.6,0.42857142857142855,0.5,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
30,61.53846153846154,0.5625,0.8181818181818182,0.6666666666666666,11,0.6,0.42857142857142855,0.5,14,0.6923076923076923,0.6428571428571429,0.6666666666666666,14
31,58.97435897435898,0.4666666666666667,0.6363636363636364,0.5384615384615385,11,0.5454545454545454,0.42857142857142855,0.4799999999999999,14,0.7692307692307693,0.7142857142857143,0.7407407407407408,14
32,64.1025641025641,0.5625,0.8181818181818182,0.6666666666666666,11,0.6666666666666666,0.42857142857142855,0.5217391304347826,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
33,56.41025641025641,0.4375,0.6363636363636364,0.5185185185185185,11,0.5333333333333333,0.5714285714285714,0.5517241379310344,14,0.875,0.5,0.6363636363636364,14
34,61.53846153846154,0.5,0.7272727272727273,0.5925925925925926,11,0.6,0.42857142857142855,0.5,14,0.7692307692307693,0.7142857142857143,0.7407407407407408,14
35,58.97435897435898,0.5,0.6363636363636364,0.56,11,0.5384615384615384,0.5,0.5185185185185186,14,0.75,0.6428571428571429,0.6923076923076924,14
36,58.97435897435898,0.46153846153846156,0.5454545454545454,0.4999999999999999,11,0.5384615384615384,0.5,0.5185185185185186,14,0.7692307692307693,0.7142857142857143,0.7407407407407408,14
37,61.53846153846154,0.5333333333333333,0.7272727272727273,0.6153846153846153,11,0.6,0.42857142857142855,0.5,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
38,58.97435897435898,0.5,0.8181818181818182,0.6206896551724137,11,0.5833333333333334,0.5,0.5384615384615384,14,0.7777777777777778,0.5,0.6086956521739131,14
39,61.53846153846154,0.5,0.8181818181818182,0.6206896551724137,11,0.6153846153846154,0.5714285714285714,0.5925925925925927,14,0.875,0.5,0.6363636363636364,14
40,61.53846153846154,0.5625,0.8181818181818182,0.6666666666666666,11,0.6,0.42857142857142855,0.5,14,0.6923076923076923,0.6428571428571429,0.6666666666666666,14
41,51.28205128205128,0.375,0.5454545454545454,0.4444444444444444,11,0.46153846153846156,0.42857142857142855,0.4444444444444445,14,0.8,0.5714285714285714,0.6666666666666666,14
42,48.717948717948715,0.3125,0.45454545454545453,0.3703703703703703,11,0.4666666666666667,0.5,0.4827586206896552,14,0.875,0.5,0.6363636363636364,14
43,58.97435897435898,0.5,0.6363636363636364,0.56,11,0.5454545454545454,0.42857142857142855,0.4799999999999999,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
44,58.97435897435898,0.5,0.6363636363636364,0.56,11,0.5454545454545454,0.42857142857142855,0.4799999999999999,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
45,58.97435897435898,0.47058823529411764,0.7272727272727273,0.5714285714285714,11,0.5714285714285714,0.5714285714285714,0.5714285714285714,14,0.875,0.5,0.6363636363636364,14
46,56.41025641025641,0.42857142857142855,0.5454545454545454,0.4799999999999999,11,0.5,0.42857142857142855,0.4615384615384615,14,0.7692307692307693,0.7142857142857143,0.7407407407407408,14
47,61.53846153846154,0.5384615384615384,0.6363636363636364,0.5833333333333334,11,0.5833333333333334,0.5,0.5384615384615384,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
48,53.84615384615385,0.4166666666666667,0.45454545454545453,0.43478260869565216,11,0.46153846153846156,0.42857142857142855,0.4444444444444445,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
49,58.97435897435898,0.4666666666666667,0.6363636363636364,0.5384615384615385,11,0.5714285714285714,0.5714285714285714,0.5714285714285714,14,0.8,0.5714285714285714,0.6666666666666666,14
50,61.53846153846154,0.5,0.7272727272727273,0.5925925925925926,11,0.6,0.42857142857142855,0.5,14,0.7692307692307693,0.7142857142857143,0.7407407407407408,14
51,58.97435897435898,0.5,0.7272727272727273,0.5925925925925926,11,0.5454545454545454,0.42857142857142855,0.4799999999999999,14,0.75,0.6428571428571429,0.6923076923076924,14
52,58.97435897435898,0.47368421052631576,0.8181818181818182,0.6,11,0.5833333333333334,0.5,0.5384615384615384,14,0.875,0.5,0.6363636363636364,14
53,48.717948717948715,0.42105263157894735,0.7272727272727273,0.5333333333333333,11,0.45454545454545453,0.35714285714285715,0.4,14,0.6666666666666666,0.42857142857142855,0.5217391304347826,14
54,58.97435897435898,0.5,0.6363636363636364,0.56,11,0.5384615384615384,0.5,0.5185185185185186,14,0.75,0.6428571428571429,0.6923076923076924,14
55,64.1025641025641,0.5294117647058824,0.8181818181818182,0.6428571428571428,11,0.7,0.5,0.5833333333333334,14,0.75,0.6428571428571429,0.6923076923076924,14
56,43.58974358974359,0.29411764705882354,0.45454545454545453,0.35714285714285715,11,0.46153846153846156,0.42857142857142855,0.4444444444444445,14,0.6666666666666666,0.42857142857142855,0.5217391304347826,14
57,58.97435897435898,0.45454545454545453,0.45454545454545453,0.45454545454545453,11,0.5384615384615384,0.5,0.5185185185185186,14,0.7333333333333333,0.7857142857142857,0.7586206896551724,14
58,61.53846153846154,0.46153846153846156,0.5454545454545454,0.4999999999999999,11,0.5714285714285714,0.5714285714285714,0.5714285714285714,14,0.8333333333333334,0.7142857142857143,0.7692307692307692,14
59,64.1025641025641,0.5294117647058824,0.8181818181818182,0.6428571428571428,11,0.7,0.5,0.5833333333333334,14,0.75,0.6428571428571429,0.6923076923076924,14
60,51.28205128205128,0.3888888888888889,0.6363636363636364,0.4827586206896552,11,0.5454545454545454,0.42857142857142855,0.4799999999999999,14,0.7,0.5,0.5833333333333334,14
61,53.84615384615385,0.4375,0.6363636363636364,0.5185185185185185,11,0.5,0.5,0.5,14,0.7777777777777778,0.5,0.6086956521739131,14
62,66.66666666666666,0.6,0.8181818181818182,0.6923076923076923,11,0.7,0.5,0.5833333333333334,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
63,56.41025641025641,0.4666666666666667,0.6363636363636364,0.5384615384615385,11,0.5384615384615384,0.5,0.5185185185185186,14,0.7272727272727273,0.5714285714285714,0.64,14
64,53.84615384615385,0.4,0.5454545454545454,0.4615384615384615,11,0.5,0.5,0.5,14,0.8,0.5714285714285714,0.6666666666666666,14
65,61.53846153846154,0.5,0.5454545454545454,0.5217391304347826,11,0.5714285714285714,0.5714285714285714,0.5714285714285714,14,0.7692307692307693,0.7142857142857143,0.7407407407407408,14
66,53.84615384615385,0.4,0.5454545454545454,0.4615384615384615,11,0.5,0.5,0.5,14,0.8,0.5714285714285714,0.6666666666666666,14
67,64.1025641025641,0.5714285714285714,0.7272727272727273,0.64,11,0.6363636363636364,0.5,0.56,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
68,53.84615384615385,0.4444444444444444,0.7272727272727273,0.5517241379310345,11,0.5,0.42857142857142855,0.4615384615384615,14,0.7777777777777778,0.5,0.6086956521739131,14
69,53.84615384615385,0.4444444444444444,0.7272727272727273,0.5517241379310345,11,0.5,0.42857142857142855,0.4615384615384615,14,0.7777777777777778,0.5,0.6086956521739131,14
70,64.1025641025641,0.5625,0.8181818181818182,0.6666666666666666,11,0.6666666666666666,0.42857142857142855,0.5217391304347826,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,14
