Question,Acurracy global,Precision_0,Recall_0,F1_score_0,Support_0,Precision_1,Recall_1,F1_score_1,Support_1,Precision_2,Recall_2,F1_score_2,Support_2
"3,4,5,14,21,24,25,26,27,29,30,32,48,49,51,54,55,58,59,60,62,63,66,68,70,75,78,83,85,86,87,89,90,91,94,95,96,98,100,101",64.1025641025641,0.5,0.45454545454545453,0.47619047619047616,11,0.6875,0.7857142857142857,0.7333333333333334,14,0.6923076923076923,0.6428571428571429,0.6666666666666666,14
"3,4,5,9,11,12,14,15,21,23,24,25,26,27,29,30,32,38,44,45,46,48,49,51,54,55,58,59,60,62,63,66,68,70,72,75,78,83,85,86,87,89,90,91,94,95,96,98,100,101,102",56.41025641025641,0.5454545454545454,0.5454545454545454,0.5454545454545454,11,0.46153846153846156,0.42857142857142855,0.4444444444444445,14,0.6666666666666666,0.7142857142857143,0.689655172413793,14
"3,4,5,9,11,12,14,15,18,21,23,24,25,26,27,29,30,32,38,44,45,46,48,49,51,54,55,58,59,60,62,63,66,68,70,72,75,78,83,85,86,87,88,89,90,91,94,95,96,98,100,101,102",51.28205128205128,0.5454545454545454,0.5454545454545454,0.5454545454545454,11,0.47058823529411764,0.5714285714285714,0.5161290322580646,14,0.5454545454545454,0.42857142857142855,0.4799999999999999,14
"3,4,5,7,9,11,12,14,15,18,21,23,24,25,26,27,29,30,32,38,44,45,46,48,49,51,54,55,58,59,60,62,63,66,68,70,72,73,75,77,78,83,85,86,87,88,89,90,91,93,94,95,96,98,100,101,102",56.41025641025641,0.375,0.2727272727272727,0.3157894736842105,11,0.5333333333333333,0.5714285714285714,0.5517241379310344,14,0.6875,0.7857142857142857,0.7333333333333334,14
"3,4,5,7,9,11,12,13,14,15,18,21,23,24,25,26,27,29,30,32,35,38,44,45,46,48,49,50,51,54,55,58,59,60,62,63,66,68,70,72,73,75,77,78,80,81,83,85,86,87,88,89,90,91,93,94,95,96,98,100,101,102",56.41025641025641,0.4666666666666667,0.6363636363636364,0.5384615384615385,11,0.6,0.42857142857142855,0.5,14,0.6428571428571429,0.6428571428571429,0.6428571428571429,14
